,Unnamed: 0,tweet_id,retweet_count,favorite_count
117,117,869702957897576449,6572,28755
118,118,869596645499047938,3256,16275
119,119,869227993411051520,3942,20843
120,120,868880397819494401,15066,66906
121,121,868639477480148993,2186,0
122,122,868622495443632128,6161,27941
123,123,868552278524837888,2186,10391
124,124,867900495410671616,4358,24683
125,125,867774946302451713,7642,34728
126,126,867421006826221569,2634,16534
127,127,867072653475098625,132,0
128,128,867051520902168576,8253,32992
129,129,866720684873056260,5063,20607
130,130,866686824827068416,3652,19825
131,131,866450705531457537,36861,124753
132,132,866334964761202691,15194,53961
133,133,866094527597207552,8768,0
134,134,865718153858494464,5880,26283
135,135,865359393868664832,5256,27182
136,136,865006731092295680,8068,28746
137,137,864873206498414592,9196,33232
138,138,864279568663928832,3214,15011
139,139,864197398364647424,9428,31025
140,140,863907417377173506,4357,21211
141,141,863553081350529029,4391,15728
142,142,863471782782697472,2620,0
143,143,863432100342583297,5559,24495
144,144,863427515083354112,103,2328
145,145,863079547188785154,1162,9007
146,146,863062471531167744,2620,8821
147,147,862831371563274240,5351,19764
148,148,862722525377298433,3734,17579
149,149,862457590147678208,5256,21205
150,150,862096992088072192,24641,77065
151,151,861383897657036800,11318,37259
152,152,861288531465048066,4413,17765
153,153,861005113778896900,4033,17291
154,154,860981674716409858,2285,0
155,155,860924035999428608,868,0
156,156,860563773140209665,2285,7765
157,157,860524505164394496,5586,24400
158,158,860276583193509888,3682,18921
159,159,860184849394610176,6200,17252
160,160,860177593139703809,32755,0
161,161,859924526012018688,4272,19775
162,162,859851578198683649,3718,15918
163,163,859607811541651456,1672,19244
164,164,859196978902773760,32196,93349
165,165,859074603037188101,14477,35131
166,166,858860390427611136,8652,0
167,167,858843525470990336,3697,16114
168,168,858471635011153920,5162,22317
169,169,858107933456039936,3101,16327
170,170,857989990357356544,2755,16738
171,171,857746408056729600,11308,35575
172,172,857393404942143489,1744,6146
173,173,857263160327368704,4836,20769
174,174,857214891891077121,20,240
175,175,857062103051644929,181,0
176,176,857029823797047296,4284,19666
177,177,856602993587888130,11431,0
178,178,856543823941562368,3082,16944
179,179,856526610513747968,2018,12304
180,180,856330835276025856,722,0
181,181,856288084350160898,17,536
182,182,856282028240666624,6735,28759
183,183,855862651834028034,28,361
184,184,855860136149123072,1104,5001
185,185,855857698524602368,2273,12343
186,186,855851453814013952,18902,47281
187,187,855818117272018944,5843,27723
188,188,855459453768019968,8847,31274
189,189,855245323840757760,6439,0
190,190,855138241867124737,49,0
191,191,854732716440526848,6563,23898
192,192,854482394044301312,7440,30708
193,193,854365224396361728,5064,19779
194,194,854120357044912130,8128,33447
195,195,854010172552949760,3387,16955
196,196,853760880890318849,6275,30041
197,197,853639147608842240,11038,36674
198,198,853299958564483072,3859,16313
199,199,852936405516943360,2190,0
200,200,852912242202992640,2000,9498
201,201,852672615818899456,2333,15709
202,202,852553447878664193,3817,17265
203,203,852311364735569921,10773,34884
204,204,852226086759018497,7429,21082
205,205,852189679701164033,1717,12074
206,206,851953902622658560,10498,0
207,207,851861385021730816,23,0
208,208,851591660324737024,3771,17098
209,209,851464819735769094,7710,25630
210,210,851224888060895234,6242,21823
211,211,850753642995093505,10166,32898
212,212,850380195714523136,2856,13813
213,213,850333567704068097,363,3605
214,214,850145622816686080,4170,17298
215,215,850019790995546112,5363,21660
216,216,849776966551130114,8331,32292
217,217,849668094696017920,5425,0
218,218,849412302885593088,3431,16832
219,219,849336543269576704,2068,12106
220,220,849051919805034497,9315,44555
221,221,848690551926992896,4735,26760
222,222,848324959059550208,5045,26294
223,223,848213670039564288,818,8698
224,224,848212111729840128,3379,17374
225,225,847978865427394560,3581,0
226,226,847971574464610304,471,0
227,227,847962785489326080,5641,24969
228,228,847842811428974592,1485,5851
229,229,847617282490613760,459,7455
230,230,847606175596138505,3706,19932
231,231,847251039262605312,4709,21721
232,232,847157206088847362,6447,21276
233,233,847116187444137987,3513,22805
